id,object_id,object_repr,action_flag,change_message,content_type_id,user_id,action_time
1,1,<person: David,1,"[{""added"": {}}]",8,1,2023-01-30 18:04:25.793075
2,2,<person: Levy,1,"[{""added"": {}}]",8,1,2023-01-30 18:07:21.721319
3,3,<person: Rachel,1,"[{""added"": {}}]",8,1,2023-01-30 18:08:05.026008
4,1,<car: Toyota,1,"[{""added"": {}}]",7,1,2023-01-30 18:49:47.864497
5,2,<car: Suzuki,1,"[{""added"": {}}]",7,1,2023-01-30 18:50:10.705780
6,3,<car: Subaru,1,"[{""added"": {}}]",7,1,2023-01-30 18:50:43.558096
7,1,<rent: 2023-01-30 19:28:01.542761+00:00,1,"[{""added"": {}}]",9,1,2023-01-30 19:28:01.546415
8,1,<rent: 2023-01-30 19:28:01.542761+00:00,3,,9,1,2023-01-30 20:14:34.645932
9,4,<person: John,1,"[{""added"": {}}]",8,1,2023-01-30 20:15:27.628351
10,5,<person: BIlly,1,"[{""added"": {}}]",8,1,2023-01-30 20:15:51.191415
11,6,<person: Donna,1,"[{""added"": {}}]",8,1,2023-01-30 20:16:28.144644
12,3,<car: Subaru Impreza,2,"[{""changed"": {""fields"": [""Car type""]}}]",7,1,2023-01-30 20:17:41.059037
13,2,<car: Suzuki Ignis,2,"[{""changed"": {""fields"": [""Car type""]}}]",7,1,2023-01-30 20:18:00.386920
14,1,<car: Toyota Corolla,2,"[{""changed"": {""fields"": [""Car type""]}}]",7,1,2023-01-30 20:18:30.959564
15,4,<car: Mazda 323,1,"[{""added"": {}}]",7,1,2023-01-30 20:19:01.568493
16,7,<person: Josh,1,"[{""added"": {}}]",8,1,2023-01-30 20:19:38.075393
17,5,<car: BMW 118,1,"[{""added"": {}}]",7,1,2023-01-30 20:20:05.288500
18,6,<car: BMW 330i,1,"[{""added"": {}}]",7,1,2023-01-30 20:20:39.026004
19,2,<rent: 2023-01-30 20:21:11.722239+00:00,1,"[{""added"": {}}]",9,1,2023-01-30 20:21:11.724781
20,5,<person: Billy,2,"[{""changed"": {""fields"": [""First name""]}}]",8,1,2023-01-30 20:21:56.690614
21,3,<rent: 2023-01-30 20:22:19.073404+00:00,1,"[{""added"": {}}]",9,1,2023-01-30 20:22:19.080311
22,4,<rent: 2023-01-30 20:22:46.292861+00:00,1,"[{""added"": {}}]",9,1,2023-01-30 20:22:46.296502
23,2,<person: Leah,2,"[{""changed"": {""fields"": [""First name""]}}]",8,1,2023-02-02 16:11:50.228922
24,7,<car: Lamborgini Evo,2,"[{""changed"": {""fields"": [""Car type""]}}]",7,1,2023-02-02 16:19:01.179891
25,7,<car: Lamborgini Evo,2,"[{""changed"": {""fields"": [""Owner""]}}]",7,1,2023-02-02 16:19:15.401497
26,1,<car: Toyota Corolla,2,"[{""changed"": {""fields"": [""Cost""]}}]",7,1,2023-02-02 17:55:36.770445
27,8,<car: Tesla S,1,"[{""added"": {}}]",7,1,2023-02-02 18:34:32.132488
